deal_id,customer_name,sales_rep,amount_usd,stage,created_date,expected_close_date,last_activity_date,days_in_stage,num_emails,num_calls,num_meetings,stakeholder_count,economic_buyer_engaged,proposal_sent,close_date_changes,customer_response_days,engagement_trend,notes,historical_stage_win_rate,weighted_revenue_usd,risk_score,risk_level
D001,Harbor Insurance 1,Arjun,125000,Negotiation,2026-06-15,2026-10-26,2026-09-07,32,2,2,1,2,False,True,1,8,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.75,93750.0,40,Medium
D002,Northstar Analytics 2,Rohan,40000,Demo,2026-06-06,2026-10-30,2026-09-01,43,3,2,2,2,True,False,2,5,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.3,12000.0,55,Medium
D003,Evergreen Energy 3,Meera,200000,Proposal,2026-07-25,2026-10-01,2026-09-05,4,7,5,5,4,True,True,1,4,stable,Customer is engaged and reviewing next steps.,0.55,110000.0,0,Low
D004,Pioneer Finance 4,Diya,25000,Discovery,2026-05-02,2026-09-19,2026-08-25,23,1,0,1,2,True,False,1,13,declining,Engagement has dropped sharply compared with earlier conversations.,0.15,3750.0,60,High
D005,Quantum Security 5,Rohan,50000,Proposal,2026-07-16,2026-10-06,2026-08-08,41,3,1,0,2,True,True,3,18,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.55,27500.0,80,High
D006,Nova Telecom 6,Kabir,75000,Demo,2026-07-14,2026-10-09,2026-09-06,22,11,1,1,4,True,False,1,4,stable,Champion is active and buyer is engaged.,0.3,22500.0,0,Low
D007,Harbor Insurance 7,Arjun,200000,Demo,2026-06-05,2026-09-11,2026-09-07,8,7,4,1,3,True,False,0,4,stable,Champion is active and buyer is engaged.,0.3,60000.0,0,Low
D008,Quantum Security 8,Aarav,125000,Proposal,2026-08-04,2026-11-14,2026-09-07,18,6,3,1,4,True,True,0,2,stable,Strong meeting participation; decision process is clear.,0.55,68750.0,0,Low
D009,Pioneer Finance 9,Meera,50000,Discovery,2026-04-15,2026-10-04,2026-09-09,11,4,3,4,3,True,False,1,4,stable,Champion is active and buyer is engaged.,0.15,7500.0,0,Low
D010,Vertex Retail 10,Meera,200000,Discovery,2026-06-30,2026-11-10,2026-09-10,17,9,3,4,4,True,False,0,4,stable,Champion is active and buyer is engaged.,0.15,30000.0,0,Low
D011,Apex Mobility 11,Kabir,150000,Demo,2026-07-24,2026-09-29,2026-09-08,18,9,2,4,4,True,False,0,2,stable,Customer is engaged and reviewing next steps.,0.3,45000.0,0,Low
D012,Maple Commerce 12,Diya,250000,Proposal,2026-06-12,2026-10-11,2026-09-03,34,2,2,3,3,True,True,2,5,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.55,137500.0,55,Medium
D013,Summit Logistics 13,Anaya,100000,Discovery,2026-05-05,2026-10-06,2026-08-21,37,1,1,0,1,False,False,3,16,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.15,15000.0,100,High
D014,Nova Telecom 14,Aarav,25000,Proposal,2026-05-15,2026-09-16,2026-09-05,13,3,1,4,3,True,True,0,2,stable,Champion is active and buyer is engaged.,0.55,13750.0,0,Low
D015,Evergreen Energy 15,Rohan,200000,Proposal,2026-07-24,2026-10-12,2026-08-26,41,3,1,2,2,True,True,2,13,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.55,110000.0,80,High
D016,Atlas Manufacturing 16,Arjun,50000,Discovery,2026-06-08,2026-09-29,2026-09-07,20,8,3,1,3,True,False,1,2,stable,Customer requested a timeline for final decision.,0.15,7500.0,0,Low
D017,Nova Telecom 17,Aarav,50000,Demo,2026-08-14,2026-10-22,2026-09-07,34,2,1,3,2,False,False,0,3,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.3,15000.0,40,Medium
D018,Atlas Manufacturing 18,Kabir,50000,Proposal,2026-05-04,2026-10-14,2026-08-24,29,1,1,0,2,True,True,0,7,declining,Engagement has dropped sharply compared with earlier conversations.,0.55,27500.0,40,Medium
D019,Vertex Retail 19,Diya,100000,Negotiation,2026-04-22,2026-11-10,2026-09-09,26,5,4,4,3,True,True,1,2,stable,Customer requested a timeline for final decision.,0.75,75000.0,0,Low
D020,Northstar Analytics 20,Rohan,50000,Discovery,2026-06-15,2026-10-05,2026-09-04,41,5,2,1,3,False,False,2,9,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.15,7500.0,75,High
D021,BluePeak Systems 21,Rohan,75000,Proposal,2026-06-24,2026-09-14,2026-09-05,22,5,1,2,4,True,True,1,1,stable,Customer is engaged and reviewing next steps.,0.55,41250.0,0,Low
D022,Evergreen Energy 22,Meera,150000,Discovery,2026-07-23,2026-10-10,2026-08-12,45,0,0,0,1,False,False,1,20,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.15,22500.0,80,High
D023,Atlas Manufacturing 23,Meera,40000,Discovery,2026-07-23,2026-10-29,2026-09-09,3,12,1,4,2,True,False,0,4,stable,Champion is active and buyer is engaged.,0.15,6000.0,0,Low
D024,BluePeak Systems 24,Meera,40000,Negotiation,2026-08-14,2026-09-27,2026-08-24,37,1,0,0,2,True,True,2,15,declining,Engagement has dropped sharply compared with earlier conversations.,0.75,30000.0,80,High
D025,Nova Telecom 25,Diya,50000,Proposal,2026-04-01,2026-09-13,2026-09-04,27,3,3,3,3,True,True,0,3,stable,Customer requested a timeline for final decision.,0.55,27500.0,0,Low
D026,BluePeak Systems 26,Kabir,25000,Demo,2026-03-30,2026-10-22,2026-08-24,51,3,0,2,1,False,False,3,8,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.3,7500.0,100,High
D027,Orion Foods 27,Ishita,200000,Negotiation,2026-06-11,2026-09-14,2026-09-09,22,12,5,4,4,True,True,0,2,stable,Strong meeting participation; decision process is clear.,0.75,150000.0,0,Low
D028,BluePeak Systems 28,Ishita,75000,Proposal,2026-03-31,2026-11-12,2026-09-04,16,5,2,2,4,True,True,1,4,stable,Customer requested a timeline for final decision.,0.55,41250.0,0,Low
D029,Vertex Retail 29,Kabir,25000,Proposal,2026-06-27,2026-09-17,2026-09-06,26,8,1,2,2,False,True,1,7,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.55,13750.0,20,Low
D030,Quantum Security 30,Meera,100000,Discovery,2026-08-01,2026-10-23,2026-09-06,4,4,5,1,2,True,False,0,3,stable,Champion is active and buyer is engaged.,0.15,15000.0,0,Low
D031,Apex Mobility 31,Meera,250000,Demo,2026-06-05,2026-10-16,2026-08-28,44,1,1,2,1,True,False,2,7,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.3,75000.0,55,Medium
D032,Quantum Security 32,Rohan,25000,Discovery,2026-06-24,2026-09-12,2026-09-04,4,11,1,1,2,True,False,0,4,stable,Champion is active and buyer is engaged.,0.15,3750.0,0,Low
D033,Atlas Manufacturing 33,Kabir,50000,Negotiation,2026-03-28,2026-11-02,2026-09-02,34,6,2,3,2,False,True,1,3,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.75,37500.0,40,Medium
D034,Pioneer Finance 34,Arjun,100000,Negotiation,2026-04-19,2026-09-17,2026-09-07,20,5,2,4,2,True,True,0,2,stable,Strong meeting participation; decision process is clear.,0.75,75000.0,0,Low
D035,Maple Commerce 35,Rohan,50000,Demo,2026-06-05,2026-10-22,2026-09-08,12,4,4,2,2,True,False,0,4,stable,Customer requested a timeline for final decision.,0.3,15000.0,0,Low
D036,BluePeak Systems 36,Kabir,100000,Demo,2026-06-12,2026-10-20,2026-09-03,26,3,3,3,2,False,False,1,8,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.3,30000.0,20,Low
D037,BluePeak Systems 37,Arjun,25000,Proposal,2026-07-19,2026-10-16,2026-08-27,38,0,1,1,2,True,True,1,13,declining,Engagement has dropped sharply compared with earlier conversations.,0.55,13750.0,60,High
D038,BluePeak Systems 38,Kabir,250000,Discovery,2026-03-31,2026-11-11,2026-08-30,21,5,3,3,2,False,False,1,9,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.15,37500.0,20,Low
D039,Harbor Insurance 39,Ishita,25000,Proposal,2026-08-04,2026-10-26,2026-08-24,35,2,0,0,2,False,True,3,14,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.55,13750.0,100,High
D040,Harbor Insurance 40,Diya,200000,Proposal,2026-07-14,2026-11-01,2026-08-30,47,5,0,1,3,False,True,2,11,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.55,110000.0,75,High
